YEAR,DOY,WS10M,RH2M,T2M_MAX,T2M_MIN,PRECTOTCORR
1986,1,3.68,61.76,28.1,12.43,0.0
1986,2,4.12,60.44,29.48,12.96,0.0
1986,3,3.96,62.95,27.51,12.53,0.0
1986,4,3.7,61.61,28.69,12.97,0.0
1986,5,3.56,61.99,29.55,13.67,0.0
1986,6,3.87,62.6,29.11,14.2,0.0
1986,7,4.46,66.78,28.87,15.27,0.0
1986,8,4.44,66.97,29.5,15.6,0.0
1986,9,4.08,68.64,29.19,16.53,0.0
1986,10,3.8,69.68,27.7,17.39,0.03
1986,11,3.89,71.78,26.87,17.11,0.03
1986,12,5.54,75.77,27.7,17.45,0.55
1986,13,5.3,77.95,27.17,16.96,4.11
1986,14,4.14,80.55,27.95,17.64,8.27
1986,15,2.25,80.91,26.28,17.65,7.57
1986,16,4.08,79.25,26.9,16.44,4.89
1986,17,2.49,68.84,29.26,14.11,0.2
1986,18,2.01,69.14,29.89,16.47,0.01
1986,19,3.06,74.54,24.28,17.32,0.0
1986,20,2.58,71.51,29.17,16.71,0.04
1986,21,4.24,73.88,27.31,17.32,0.04
1986,22,4.88,63.86,29.53,14.16,0.01
1986,23,4.44,59.55,29.12,12.06,0.0
1986,24,3.68,56.82,30.07,12.42,0.0
1986,25,4.25,62.31,29.7,13.12,0.0
1986,26,3.9,61.58,29.77,14.05,0.0
1986,27,3.88,59.0,29.88,14.34,0.0
1986,28,4.23,62.23,30.17,13.28,0.0
1986,29,3.52,64.6,30.24,15.24,0.01
1986,30,2.1,62.75,30.12,16.11,0.0
1986,31,2.54,61.3,30.73,16.67,0.0
1986,32,3.36,57.56,31.26,16.36,0.0
1986,33,3.07,53.43,31.58,16.63,0.0
1986,34,4.0,54.96,31.84,15.64,0.0
1986,35,4.21,53.76,32.06,13.77,0.0
1986,36,3.7,52.63,32.62,14.67,0.0
1986,37,4.66,54.04,31.72,15.95,0.0
1986,38,4.61,55.51,31.55,15.25,0.0
1986,39,3.87,57.78,31.22,16.34,0.0
1986,40,4.35,58.59,31.84,16.91,0.0
1986,41,3.83,54.67,32.43,16.92,0.0
1986,42,4.23,56.64,33.1,16.93,0.13
1986,43,4.41,57.69,33.04,18.26,0.28
1986,44,3.63,55.83,33.29,18.27,0.23
1986,45,2.98,64.37,31.04,18.77,0.43
1986,46,2.26,65.37,29.96,20.05,4.18
1986,47,2.86,52.04,32.9,16.79,0.06
1986,48,2.11,44.11,33.33,18.26,0.37
